datetime,user,heartrate,steps
2020-08-12 00:19:00,AHYIJDV,56,0
2020-08-12 00:23:00,AHYIJDV,57,0
2020-08-12 00:25:00,AHYIJDV,59,0
2020-08-12 00:26:00,AHYIJDV,60,0
2020-08-12 00:27:00,AHYIJDV,59,0
2020-08-12 00:29:00,AHYIJDV,65,0
2020-08-12 00:32:00,AHYIJDV,64,0
2020-08-12 00:34:00,AHYIJDV,61,0
2020-08-12 02:00:00,AHYIJDV,56,0
2020-08-12 02:03:00,AHYIJDV,56,0
2020-08-12 02:04:00,AHYIJDV,57,0
2020-08-12 02:09:00,AHYIJDV,55,0
2020-08-12 02:10:00,AHYIJDV,54,0
2020-08-12 02:12:00,AHYIJDV,57,0
2020-08-12 02:13:00,AHYIJDV,56,0
2020-08-12 02:14:00,AHYIJDV,52,0
2020-08-12 02:15:00,AHYIJDV,54,0
2020-08-12 02:16:00,AHYIJDV,51,0
2020-08-12 04:17:00,AHYIJDV,55,0
2020-08-12 04:18:00,AHYIJDV,53,0
2020-08-12 04:20:00,AHYIJDV,55,0
2020-08-12 04:21:00,AHYIJDV,52,0
2020-08-12 04:22:00,AHYIJDV,55,0
2020-08-12 06:21:00,AHYIJDV,59,0
2020-08-12 06:23:00,AHYIJDV,56,0
2020-08-12 06:24:00,AHYIJDV,59,0
2020-08-12 06:26:00,AHYIJDV,65,0
2020-08-12 06:31:00,AHYIJDV,61,0
2020-08-12 06:32:00,AHYIJDV,50,0
2020-08-12 08:30:00,AHYIJDV,75,0
2020-08-12 08:31:00,AHYIJDV,69,0
2020-08-12 08:33:00,AHYIJDV,73,0
2020-08-12 08:34:00,AHYIJDV,68,0
2020-08-12 08:37:00,AHYIJDV,71,0
2020-08-12 08:38:00,AHYIJDV,67,0
2020-08-12 08:39:00,AHYIJDV,71,0
2020-08-12 08:41:00,AHYIJDV,73,0
2020-08-12 08:42:00,AHYIJDV,72,0
2020-08-12 08:43:00,AHYIJDV,73,0
2020-08-12 08:45:00,AHYIJDV,72,0
2020-08-12 08:46:00,AHYIJDV,76,0
2020-08-12 08:47:00,AHYIJDV,77,0
2020-08-12 08:48:00,AHYIJDV,75,10
2020-08-12 08:49:00,AHYIJDV,78,20
2020-08-12 08:53:00,AHYIJDV,79,10
2020-08-12 08:56:00,AHYIJDV,71,0
2020-08-12 08:57:00,AHYIJDV,64,0
2020-08-12 09:00:00,AHYIJDV,71,0
2020-08-12 09:01:00,AHYIJDV,72,0
2020-08-12 09:02:00,AHYIJDV,70,0
2020-08-12 09:03:00,AHYIJDV,70,4
2020-08-12 09:05:00,AHYIJDV,71,0
2020-08-12 09:06:00,AHYIJDV,71,0
2020-08-12 09:10:00,AHYIJDV,67,0
2020-08-12 09:11:00,AHYIJDV,61,0
2020-08-12 09:13:00,AHYIJDV,69,6
2020-08-12 09:14:00,AHYIJDV,67,11
2020-08-12 09:15:00,AHYIJDV,58,0
2020-08-12 09:17:00,AHYIJDV,70,0
2020-08-12 09:23:00,AHYIJDV,65,8
2020-08-12 09:24:00,AHYIJDV,76,0
2020-08-12 09:25:00,AHYIJDV,65,0
2020-08-12 09:26:00,AHYIJDV,58,0
2020-08-12 09:27:00,AHYIJDV,61,0
2020-08-12 09:28:00,AHYIJDV,64,0
2020-08-12 09:29:00,AHYIJDV,69,9
2020-08-12 09:30:00,AHYIJDV,59,0
2020-08-12 09:31:00,AHYIJDV,57,0
2020-08-12 09:33:00,AHYIJDV,60,0
2020-08-12 09:35:00,AHYIJDV,63,0
2020-08-12 09:36:00,AHYIJDV,66,0
2020-08-12 16:15:00,AHYIJDV,59,0
2020-08-12 16:16:00,AHYIJDV,58,0
2020-08-12 16:18:00,AHYIJDV,62,25
2020-08-12 16:21:00,AHYIJDV,64,0
2020-08-12 16:22:00,AHYIJDV,61,41
2020-08-12 16:23:00,AHYIJDV,65,0
2020-08-12 16:24:00,AHYIJDV,66,87
2020-08-12 16:25:00,AHYIJDV,82,30
2020-08-12 16:36:00,AHYIJDV,83,37
2020-08-12 16:38:00,AHYIJDV,84,9
2020-08-12 16:39:00,AHYIJDV,84,54
2020-08-12 16:42:00,AHYIJDV,83,0
2020-08-12 16:45:00,AHYIJDV,79,4
2020-08-12 16:48:00,AHYIJDV,79,0
2020-08-12 16:50:00,AHYIJDV,78,0
2020-08-12 16:51:00,AHYIJDV,80,9
2020-08-12 16:52:00,AHYIJDV,84,0
2020-08-12 16:53:00,AHYIJDV,84,103
2020-08-12 16:56:00,AHYIJDV,84,0
2020-08-12 16:57:00,AHYIJDV,68,0
2020-08-12 16:59:00,AHYIJDV,61,0
2020-08-12 17:01:00,AHYIJDV,59,0
2020-08-12 17:02:00,AHYIJDV,63,0
2020-08-12 17:05:00,AHYIJDV,61,9
2020-08-12 17:06:00,AHYIJDV,61,97
2020-08-12 17:07:00,AHYIJDV,62,42
2020-08-12 17:08:00,AHYIJDV,69,0
2020-08-12 17:09:00,AHYIJDV,69,9
2020-08-12 17:11:00,AHYIJDV,64,0
2020-08-12 17:12:00,AHYIJDV,62,0
2020-08-12 17:15:00,AHYIJDV,64,0
2020-08-12 17:16:00,AHYIJDV,66,0
2020-08-12 17:18:00,AHYIJDV,62,0
2020-08-12 17:21:00,AHYIJDV,65,0
2020-08-12 17:22:00,AHYIJDV,64,0
2020-08-12 17:23:00,AHYIJDV,64,0
2020-08-12 17:24:00,AHYIJDV,65,0
2020-08-12 17:25:00,AHYIJDV,67,0
2020-08-12 17:27:00,AHYIJDV,68,14
2020-08-12 17:29:00,AHYIJDV,74,0
2020-08-12 17:34:00,AHYIJDV,64,98
2020-08-12 17:35:00,AHYIJDV,64,0
2020-08-12 21:31:00,AHYIJDV,68,0
2020-08-12 21:32:00,AHYIJDV,65,0
2020-08-12 21:34:00,AHYIJDV,67,0
2020-08-12 21:35:00,AHYIJDV,58,0
2020-08-12 21:37:00,AHYIJDV,59,8
2020-08-12 21:38:00,AHYIJDV,59,0
2020-08-12 21:39:00,AHYIJDV,61,0
2020-08-12 21:41:00,AHYIJDV,63,0
2020-08-12 21:42:00,AHYIJDV,59,0
2020-08-12 21:45:00,AHYIJDV,62,0
2020-08-12 21:46:00,AHYIJDV,62,0
2020-08-12 21:47:00,AHYIJDV,56,0
2020-08-12 21:49:00,AHYIJDV,62,0
2020-08-12 21:50:00,AHYIJDV,56,0
2020-08-12 21:51:00,AHYIJDV,49,0
2020-08-12 21:52:00,AHYIJDV,51,0
2020-08-12 21:53:00,AHYIJDV,55,0
2020-08-12 21:55:00,AHYIJDV,54,0
2020-08-12 21:56:00,AHYIJDV,58,0
2020-08-12 21:58:00,AHYIJDV,63,0
2020-08-12 22:05:00,AHYIJDV,62,0
2020-08-12 22:06:00,AHYIJDV,60,0
2020-08-12 22:09:00,AHYIJDV,62,0
2020-08-12 22:10:00,AHYIJDV,62,0
2020-08-12 22:11:00,AHYIJDV,60,0
2020-08-12 22:12:00,AHYIJDV,64,0
2020-08-12 22:13:00,AHYIJDV,67,0
2020-08-12 22:14:00,AHYIJDV,62,0
2020-08-12 22:16:00,AHYIJDV,60,0
2020-08-12 22:20:00,AHYIJDV,61,0
2020-08-12 22:21:00,AHYIJDV,63,0
2020-08-12 22:23:00,AHYIJDV,61,0
2020-08-12 22:24:00,AHYIJDV,59,9
2020-08-12 22:25:00,AHYIJDV,63,0
2020-08-12 22:26:00,AHYIJDV,64,0
2020-08-12 22:28:00,AHYIJDV,63,12
2020-08-12 22:30:00,AHYIJDV,66,13
2020-08-12 22:32:00,AHYIJDV,65,0
2020-08-12 22:36:00,AHYIJDV,68,0
2020-08-12 22:38:00,AHYIJDV,68,0
2020-08-12 22:41:00,AHYIJDV,59,0
2020-08-12 22:42:00,AHYIJDV,61,0
2020-08-12 22:44:00,AHYIJDV,63,0
2020-08-13 00:17:00,AHYIJDV,54,0
2020-08-13 00:18:00,AHYIJDV,54,0
2020-08-13 00:19:00,AHYIJDV,55,0
2020-08-13 00:20:00,AHYIJDV,55,0
2020-08-13 00:21:00,AHYIJDV,55,0
2020-08-13 00:22:00,AHYIJDV,54,0
